1|107-899-5121|Torreon|Durban|Bottenbruch|Anselstetter|Starovic|Rapid
2|590-390-9703|Merida|Salt|Harloff|McNichols|Spenke|Monte
3|286-403-6411|Pasco|Cancun|Faletti|Harrang|Plat|Palm
4|681-594-8303|Fayetteville|Rio|Wuytack|Lotfi|Ilarraza|Geneva
5|391-182-8091|Cedar|Ciudad|Bhuyan|Karunaratna|Creusere|Nassau
6|117-804-9658|El|Butte|Starovic|Wothke|Solworth|Abu
7|972-444-2041|Kansas|Mazatlan|Asuru|Blu|Vinze|Bangor
8|472-569-8465|Akron|Cancun|Olariu|DiGiano|Kirihata|Calgary
9|163-570-9392|Palm|Chattanooga|Takami|Foong|Wortmann|Aruba
10|622-827-8094|Phoenix|Brussels|Collberg|Raper|Chepyzhov|Tri
