1|179-644-9355|Bai|966-214-2034|Kilin.Strole@ogi.edu|275-553-9220|393-262-7134|Gyssens
2|611-461-5795|Zongker|652-824-9834|Mitsunori.Hoest@ucf.edu|893-578-1068|408-266-3199|Manara
3|385-440-43|Arafa|45|Ard.Strout|365-722-7022|647-521-1538|Drobnic
4|649-214-8970|Fancong|448-101-6722|Kojir|940-849-2100|219-379-2353|Whitebre
5|659-590-3234|Gradek|456-355-4957|Mateo.Punnekkat@rice.edu|174-512-9037|316-776-9731|Wolford
6|414-549-7640|Kaka|630-811-2345|Snjiv.Raschia@smu.edu|883-984-4377|327-284-9680|Rispoli
7|764-329-2171|Bilotta|586-538-5859|Evgenia.Macedo@uni-sb.de|850-188-6335|276-602-6170|Nagata
8|864-307-7846|Junior|889-477-7654|Vicente.Rotolo@uni-muenster.de|651-765-4493|682-792-7590|Bregler
9|886-800-6525|Bittel|271-997-7272|Rupal.Fritts@dec.com|880-598-1043|540-495-6016|Ma
10|141-228-3881|Littlestone|414-682-4008|Seijiro.Boudaillier@ust.hk|587-543-8900|616-587-8149|Taimanov
